Rank,Branch,last_role_title,Target_Next_Role,Target_Next_Role_Raw
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Systems Design College / Post 1
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Warp Technology Institute / Post 1
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Advanced Systems College / Post 1
Lieutenant,Tactical Systems,Asst Manager Planetary Repair Depot Two,Dy Manager,Dy Manager Fleet Maintenance Wing Alpha / Post 1
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Starfleet Engineering Academy / Post 1
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Starfleet Hull School / Post 1
Lieutenant,Engineering,Div Officer,Asst Manager,Asst Manager Fleet Maintenance Wing Beta / Post 1
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Fleet Technical Training Center / Post 1
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Starfleet Science Academy / Post 1
Lieutenant,Tactical Systems,Div Officer,Staff Officer SFHQ - Resource Management,Staff Officer SFHQ - Resource Management / Post 1
Lieutenant,Tactical Systems,Div Officer,Dy Manager,Dy Manager Dockyard Complex Two / Post 1
Lieutenant,Engineering,Div Officer,Dy Manager,Dy Manager Dockyard Complex One / Post 1
Lieutenant,Engineering,Div Officer,Staff Officer SFHQ - Strategic Planning,Staff Officer SFHQ - Strategic Planning / Post 1
Lieutenant,Tactical Systems,Div Officer,Dy Manager,Dy Manager Systems Maintenance Group Prime / Post 1
Lieutenant,Engineering,Div Officer,Staff Officer SFHQ - Capability Planning,Staff Officer SFHQ - Capability Planning / Post 1
Lieutenant,Engineering,Div Officer,Asst Manager,Asst Manager Systems Maintenance Group Sigma / Post 1
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Enlisted Technical School / Post 1
Lieutenant,Tactical Systems,Div Officer,Asst Manager Planetary Repair Depot One,Asst Manager Planetary Repair Depot One / Post 1
Lieutenant,Engineering,Div Officer,Dy Manager,Dy Manager Fleet Maintenance Wing Beta / Post 1
Lieutenant,Engineering,Div Officer,Asst Manager,Asst Manager Dockyard Complex One / Post 1
Lieutenant,Tactical Systems,Div Officer,Staff Officer SFHQ - Operations Analysis,Staff Officer SFHQ - Operations Analysis
Lieutenant,Hull Systems,Staff Officer,Staff Officer SFHQ - Systems Integration,Staff Officer SFHQ - Systems Integration / Post 1
Lieutenant,Engineering,Div Officer,Asst Manager Hull Repair Yard Beta,Asst Manager Hull Repair Yard Beta / Post 1
Lieutenant,Tactical Systems,Div Officer,Dy Manager Planetary Repair Depot One,Dy Manager Planetary Repair Depot One / Post 1
Lieutenant,Tactical Systems,Div Officer,Dy Manager Hull Repair Yard Beta,Dy Manager Hull Repair Yard Beta / Post 1
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Enlisted Technical School
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt USS Orion / Post 1
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Fleet Technical Training Center
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt USS Phoenix / Post 1
Lieutenant,Tactical Systems,Div Officer,Asst Manager,Asst Manager Systems Maintenance Group Prime
Lieutenant Commander,Tactical Systems,Asst Manager,Head of Deptt,Head of Deptt ISS Atlantis / Post 1
